CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2019-03-31;1;BCO BRASIL S.A.;001023;ITR;82964;2019-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=82964
00.000.000/0001-91;2019-06-30;1;BCO BRASIL S.A.;001023;ITR;86153;2019-08-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=86153
00.000.000/0001-91;2019-09-30;1;BCO BRASIL S.A.;001023;ITR;89089;2019-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=89089
00.000.000/0001-91;2019-09-30;2;BCO BRASIL S.A.;001023;ITR;89092;2019-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=89092
00.000.208/0001-00;2019-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;87034;2019-08-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=87034
00.000.208/0001-00;2019-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;87035;2019-08-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=87035
00.000.208/0001-00;2019-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;89119;2019-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=89119
00.001.180/0001-26;2019-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;83341;2019-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=83341
00.001.180/0001-26;2019-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;86351;2019-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=86351
00.001.180/0001-26;2019-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;89265;2019-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=89265
00.001.180/0001-26;2019-09-30;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;89270;2019-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=89270
00.070.698/0001-11;2019-03-31;1;CIA ENERGETICA DE BRASILIA;014451;ITR;83610;2019-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=83610
